,cm_TN,cm_TP,cm_FN,cm_FP,pr,rec,acc,thres
49,108191,27,1238,389,0.06490384615384616,0.021343873517786563,0.9851882197642132,0.21727705
50,108150,27,1238,430,0.05908096280087528,0.021343873517786563,0.9848149665437662,0.21613148
51,108150,28,1237,430,0.0611353711790393,0.022134387351778657,0.9848240702808503,0.21609363
52,108090,28,1237,490,0.05405405405405406,0.022134387351778657,0.9842778460558059,0.2150616
53,108090,29,1236,490,0.055876685934489405,0.02292490118577075,0.98428694979289,0.21503061
54,108055,29,1236,525,0.052346570397111915,0.02292490118577075,0.9839683189949474,0.21453667
55,108055,30,1235,525,0.05405405405405406,0.023715415019762844,0.9839774227320315,0.21453539
56,108007,30,1235,573,0.04975124378109453,0.023715415019762844,0.983540443351996,0.21379402
57,108007,31,1234,573,0.05132450331125828,0.02450592885375494,0.98354954708908,0.21379301
58,108003,31,1234,577,0.05098684210526316,0.02450592885375494,0.9835131321407438,0.2137419
59,108003,32,1233,577,0.052545155993431854,0.025296442687747035,0.9835222358778278,0.21373877
60,107979,32,1233,601,0.05055292259083728,0.025296442687747035,0.9833037461878101,0.21323109
61,107979,33,1232,601,0.052050473186119876,0.02608695652173913,0.9833128499248942,0.21322781
62,107968,33,1232,612,0.05116279069767442,0.02608695652173913,0.9832127088169693,0.21305001
63,107968,35,1230,612,0.05409582689335394,0.02766798418972332,0.9832309162911375,0.2129969
64,107875,35,1230,705,0.0472972972972973,0.02766798418972332,0.9823842687423188,0.21170822
65,107875,36,1229,705,0.048582995951417005,0.028458498023715414,0.9823933724794028,0.21167171
66,107870,36,1229,710,0.04825737265415549,0.028458498023715414,0.9823478537939825,0.21160159
67,107870,37,1228,710,0.049531459170013385,0.02924901185770751,0.9823569575310666,0.21158531
68,107777,37,1228,803,0.04404761904761905,0.02924901185770751,0.9815103099822478,0.21048859
69,107777,38,1227,803,0.04518430439952437,0.030039525691699605,0.9815194137193318,0.21046618
70,107773,38,1227,807,0.04497041420118343,0.030039525691699605,0.9814829987709955,0.21038815
71,107773,39,1226,807,0.04609929078014184,0.0308300395256917,0.9814921025080796,0.21034548
72,107749,39,1226,831,0.04482758620689655,0.0308300395256917,0.9812736128180618,0.21013999
73,107749,40,1225,831,0.045924225028702644,0.03162055335968379,0.9812827165551459,0.21013701
74,107739,40,1225,841,0.04540295119182747,0.03162055335968379,0.9811916791843052,0.21000838
75,107739,42,1223,841,0.04756511891279728,0.03320158102766799,0.9812098866584733,0.20996222
76,107690,42,1223,890,0.045064377682403435,0.03320158102766799,0.9807638035413537,0.20916244
77,107690,43,1222,890,0.04608788853161844,0.03399209486166008,0.9807729072784378,0.20916164
78,107644,43,1222,936,0.043922369765066395,0.03399209486166008,0.9803541353725704,0.2085458
79,107644,44,1221,936,0.044897959183673466,0.034782608695652174,0.9803632391096545,0.20852724
80,107622,44,1221,958,0.043912175648702596,0.034782608695652174,0.980162956893805,0.20832023
81,107620,44,1221,960,0.043824701195219126,0.034782608695652174,0.9801447494196368,0.20832011
