,cm_TN,cm_TP,cm_FN,cm_FP,pr,rec,acc,thres
26,108888,15,746,196,0.07109004739336493,0.01971090670170828,0.9914242796668032,0.36756194
27,108888,16,745,196,0.07547169811320754,0.02102496714848883,0.9914333834038873,0.3674667
28,108869,16,745,215,0.06926406926406926,0.02102496714848883,0.9912604123992899,0.3621747
29,108869,17,744,215,0.07327586206896551,0.022339027595269383,0.9912695161363739,0.36188528
30,108865,17,744,219,0.07203389830508475,0.022339027595269383,0.9912331011880376,0.36142057
31,108865,18,743,219,0.0759493670886076,0.023653088042049936,0.9912422049251217,0.36119467
32,108853,18,743,231,0.07228915662650602,0.023653088042049936,0.9911329600801129,0.3571474
33,108853,20,741,231,0.0796812749003984,0.026281208935611037,0.991151167554281,0.3562234
34,108851,20,741,233,0.07905138339920949,0.026281208935611037,0.9911329600801129,0.3558563
35,108851,21,740,233,0.08267716535433071,0.02759526938239159,0.9911420638171969,0.35552707
36,108843,21,740,241,0.08015267175572519,0.02759526938239159,0.9910692339205244,0.35411736
37,108843,22,739,241,0.08365019011406843,0.02890932982917214,0.9910783376576084,0.35360402
38,108835,22,739,249,0.08118081180811808,0.02890932982917214,0.9910055077609359,0.35223114
39,108835,23,738,249,0.08455882352941177,0.030223390275952694,0.99101461149802,0.3521941
40,108830,23,738,254,0.08303249097472924,0.030223390275952694,0.9909690928125996,0.35164478
41,108830,24,737,254,0.08633093525179857,0.03153745072273324,0.9909781965496837,0.35160047
42,108828,24,737,256,0.08571428571428572,0.03153745072273324,0.9909599890755155,0.3513725
43,108828,25,736,256,0.08896797153024912,0.0328515111695138,0.9909690928125996,0.35130626
44,108822,25,736,262,0.08710801393728224,0.0328515111695138,0.9909144703900952,0.3506843
45,108822,26,735,262,0.09027777777777778,0.03416557161629435,0.9909235741271792,0.35046598
46,108820,26,735,264,0.0896551724137931,0.03416557161629435,0.9909053666530111,0.34987754
47,108820,27,734,264,0.09278350515463918,0.035479632063074903,0.9909144703900952,0.34986317
48,108809,27,734,275,0.08940397350993377,0.035479632063074903,0.9908143292821703,0.34842435
49,108809,28,733,275,0.0924092409240924,0.03679369250985545,0.9908234330192544,0.34835303
50,108808,28,733,276,0.09210526315789473,0.03679369250985545,0.9908143292821703,0.34826738
51,108808,29,732,276,0.09508196721311475,0.03810775295663601,0.9908234330192544,0.34801745
52,108807,29,732,277,0.09477124183006536,0.03810775295663601,0.9908143292821703,0.34785545
53,108807,30,731,277,0.09771986970684039,0.03942181340341656,0.9908234330192544,0.3478458
54,108806,30,731,278,0.09740259740259741,0.03942181340341656,0.9908143292821703,0.34778816
55,108806,31,730,278,0.10032362459546926,0.040735873850197106,0.9908234330192544,0.34773037
56,108786,31,730,298,0.09422492401215805,0.040735873850197106,0.9906413582775729,0.34565148
57,108786,32,729,298,0.09696969696969697,0.04204993429697766,0.990650462014657,0.34562835
58,108785,32,729,299,0.09667673716012085,0.04204993429697766,0.9906413582775729,0.34561172
59,108785,33,728,299,0.09939759036144578,0.04336399474375821,0.990650462014657,0.3455932
60,108780,33,728,304,0.09792284866468842,0.04336399474375821,0.9906049433292367,0.34547535
61,108780,34,727,304,0.10059171597633136,0.04467805519053877,0.9906140470663207,0.34539282
62,108770,34,727,314,0.09770114942528736,0.04467805519053877,0.99052300969548,0.34418702
63,108770,35,726,314,0.10028653295128939,0.045992115637319315,0.9905321134325641,0.34398854
64,108767,35,726,317,0.09943181818181818,0.045992115637319315,0.9905048022213119,0.34363976
65,108767,36,725,317,0.10198300283286119,0.04730617608409987,0.990513905958396,0.34363574
66,108761,36,725,323,0.10027855153203342,0.04730617608409987,0.9904592835358915,0.34325218
67,108761,37,724,323,0.10277777777777777,0.04862023653088042,0.9904683872729756,0.34322467
68,108750,37,724,334,0.09973045822102426,0.04862023653088042,0.9903682461650507,0.34238857
69,108750,38,723,334,0.10215053763440861,0.04993429697766097,0.9903773499021348,0.34230474
70,108742,38,723,342,0.1,0.04993429697766097,0.9903045200054622,0.34170154
71,108742,39,722,342,0.10236220472440945,0.051248357424441525,0.9903136237425463,0.3416119
