,cm_TN,cm_TP,cm_FN,cm_FP,pr,rec,acc,thres
8668,45400,940,289,63216,0.014651786270964523,0.7648494711147275,0.42186717647594335,0.048462063
8669,45397,940,289,63219,0.014651101170529465,0.7648494711147275,0.42183986526469114,0.048462003
8670,45394,940,289,63222,0.014650416134160406,0.7648494711147275,0.4218125540534389,0.048461616
8671,45392,940,289,63224,0.014649959478835484,0.7648494711147275,0.4217943465792708,0.048461586
8672,45389,940,289,63227,0.01464927454922312,0.7648494711147275,0.4217670353680186,0.04846111
8673,45386,940,289,63230,0.014648589683652798,0.7648494711147275,0.42173972415676636,0.04846093
8674,45385,940,289,63231,0.014648361409359368,0.7648494711147275,0.4217306204196823,0.04846084
8675,45383,940,289,63233,0.014647904882115531,0.7648494711147275,0.42171241294551415,0.04846081
8676,45381,940,289,63235,0.014647448383326841,0.7648494711147275,0.421694205471346,0.048460543
8677,45379,940,289,63237,0.014646991912990636,0.7648494711147275,0.42167599799717786,0.048460484
8678,45378,940,289,63238,0.014646763688491384,0.7648494711147275,0.4216668942600938,0.048459947
8679,45376,940,289,63240,0.014646307260828918,0.7648494711147275,0.4216486867859256,0.048459798
8680,45371,940,289,63245,0.014645166316117474,0.7648494711147275,0.42160316810050524,0.04845947
8681,45369,940,289,63247,0.0146447099880038,0.7648494711147275,0.4215849606263371,0.04845941
8682,45364,940,289,63252,0.01464356929212363,0.7648494711147275,0.42153944194091675,0.048458695
8683,45362,940,289,63254,0.014643113063526187,0.7648494711147275,0.4215212344667486,0.048458546
8684,45354,940,289,63262,0.014641288433382138,0.7648494711147275,0.42144840457007604,0.048457682
8685,45350,940,289,63266,0.01464037628882036,0.7648494711147275,0.4214119896217397,0.048457205
8686,45349,940,289,63267,0.014640148270437803,0.7648494711147275,0.42140288588465563,0.048457146
8687,45347,940,289,63269,0.014639692254979832,0.7648494711147275,0.4213846784104875,0.048457026
8688,45331,940,289,63285,0.014636045153756326,0.7648494711147275,0.42123901861714236,0.048455626
8689,45328,940,289,63288,0.014635361524568725,0.7648494711147275,0.42121170740589015,0.048455596
8690,45326,940,289,63290,0.014634905807255176,0.7648494711147275,0.42119349993172195,0.048455328
8691,45324,940,289,63292,0.014634450118321086,0.7648494711147275,0.4211752924575538,0.04845521
8692,45322,940,289,63294,0.014633994457763802,0.7648494711147275,0.42115708498338567,0.04845503
8693,45320,940,289,63296,0.014633538825580671,0.7648494711147275,0.4211388775092175,0.04845497
8694,45311,940,289,63305,0.014631488831815705,0.7648494711147275,0.4210569438754609,0.048454016
8695,45309,940,289,63307,0.014631033355643065,0.7648494711147275,0.42103873640129275,0.048453927
8696,45307,940,289,63309,0.014630577907827359,0.7648494711147275,0.4210205289271246,0.048453778
8697,45304,940,289,63312,0.01462989478926726,0.7648494711147275,0.4209932177158724,0.04845348
8698,45294,940,289,63322,0.0146276181880427,0.7648494711147275,0.42090218034503163,0.048452646
8699,45292,940,289,63324,0.01462716295281962,0.7648494711147275,0.4208839728708635,0.048452437
8700,45289,940,289,63327,0.01462648015311124,0.7648494711147275,0.4208566616596113,0.048452377
8701,45287,940,289,63329,0.01462602498871929,0.7648494711147275,0.42083845418544313,0.048452318
8702,45286,940,289,63330,0.014625797417146414,0.7648494711147275,0.42082935044835906,0.04845223
8703,45283,940,289,63333,0.014625114744916217,0.7648494711147275,0.42080203923710685,0.04845214
8704,45269,940,289,63347,0.01462192978362655,0.7648494711147275,0.4206745869179298,0.04845044
8705,45267,940,289,63349,0.014621474902393877,0.7648494711147275,0.42065637944376166,0.04845029
8706,45264,940,289,63352,0.014620792633609159,0.7648494711147275,0.42062906823250945,0.048450053
8707,45260,940,289,63356,0.014619883040935672,0.7648494711147275,0.42059265328417317,0.048449516
8708,45257,940,289,63359,0.014619200920698612,0.7648494711147275,0.42056534207292096,0.04844907
8709,45255,940,289,63361,0.014618746209234692,0.7648494711147275,0.4205471345987528,0.04844904
8710,45243,940,289,63373,0.014616018534355417,0.7648494711147275,0.4204378897537439,0.04844773
8711,45241,940,289,63375,0.014615564020834953,0.7648494711147275,0.42041968227957577,0.0484477
8712,45238,940,289,63378,0.014614882303554216,0.7648494711147275,0.42039237106832356,0.04844737
8713,45236,940,289,63380,0.014614427860696517,0.7648494711147275,0.4203741635941554,0.04844734
8714,45231,940,289,63385,0.014613291877186164,0.7648494711147275,0.42032864490873506,0.048446983
8715,45228,940,289,63388,0.014612610371844298,0.7648494711147275,0.4203013336974828,0.048446864
8716,45210,940,289,63406,0.014608522674292109,0.7648494711147275,0.4201374664299695,0.048445344
8717,45208,940,289,63408,0.01460806862684155,0.7648494711147275,0.4201192589558014,0.048445314
8718,45207,940,289,63409,0.01460784161370029,0.7648494711147275,0.4201101552187173,0.048445255
8719,45205,940,289,63411,0.01460738760858417,0.7648494711147275,0.4200919477445491,0.048445165
8720,45185,940,289,63431,0.014602849109070854,0.7648494711147275,0.4199098730028677,0.048443496
